Organization Name,Address,State,Latitude,Longitude,Hours,Phone,Privacy for Video Meetings,Printer,Reservation Type,Reserve Here
Fergus Falls Public Library,"205 E. Hampden Ave, Fergus Falls, MN, 56537",MN,46.2791623,-96.0719304,"Monday - Thursday 9am - 8pm, Friday 9am - 6pm, Saturday 9am - 1pm",(218) 739-9387,No,Yes,Walk-Ins Only,
Perham Area Public Library,"225 2nd Ave. NE, Perham, MN, 56573",MN,46.5953495,-95.5701576,"Monday - Thursday 10am - 7pm, Friday 10am - 5pm, Sat 10am - 2pm",(218) 346-4892,Yes,Yes,,https://client.flexbooker.com/widget/419704ff-01ad-4a6f-8909-05ebfe719e65
CAPLP - Lakes & Prairies Community Action Partnership - Moorhead,"861 Belsly Blvd, Moorhead, MN, 56560",MN,46.8388739,-96.765782,By appointment only: Monday - Friday 8am - 4:30pm,(218) 512-1500,No,No,Walk-Ins Only,
Pine County Courthouse - Law Library,"635 Northridge Drive NW, Pine City, MN, 55063",MN,45.8529696,-92.9716701,Monday - Friday 8am - 4:30pm,(320) 591-1400,No,No,Walk-Ins Only,
Douglas County Law Library,"305 8th Avenue West, Alexandria, MN, 56308",MN,45.8840249,-95.3813352,Monday - Friday 8am - 4:30pm,(320) 762-2907,Yes,Yes,Call to Reserve,
Legal Assistance of Dakota County - Apple Valley,"7300 147th St. W. Suite 401, Apple Valley, MN, 55124",MN,44.7339838,-93.2138131,9am - 5pm,(952) 431-3200,No,No,Walk-Ins Only,
Mid-Minnesota Legal Aid - Minneapolis,"111 North 5th Street Suite 100, Minneapolis, MN, 55403",MN,44.9806673,-93.2742661,By appointment only: 8:30am - 4:30pm,(612) 332-1441,Yes,Yes,Call to Reserve,
Hennepin County Government Center,"300 S. 6th Street, Minneapolis, MN, 55487",MN,44.9757973,-93.2662845,Monday - Friday 8am - 4:30pm,(612) 348-6000,Yes,Yes,Call to Reserve,
Bemidji Public Library,"509 America Ave NW, Bemidji, MN, 56601",MN,47.4732664,-94.884674,"Monday - Thursday 9am - 7pm, Friday - Saturday 9am - 5pm",(218) 751-3963,Yes,Yes,Call to Reserve,
Faith in Action for Cass County,"116 1st Street S, Hackensack, MN, 56452",MN,46.9302916,-94.5218153,Monday - Friday 8:30am - 4:00pm,(218) 675-5435,Yes,Yes,Call to Reserve,
Wadena County District Court,"415 Jefferson St S # 219, Wadena, MN, 56482",MN,46.4379848,-95.1397428,Monday - Friday 8am - 4:30pm,(218) 631-7650,Yes,Yes,Call to Reserve,
Volunteer Services of Carlton County Inc.,"199 Chestnut Avenue Suite 3, Carlton, MN, 55718",MN,46.6641477,-92.4270236,By appointment only: 8am - 4pm,(218) 879-9238,,Yes,Call to Reserve,
Olmsted County Courthouse,"151 4th St SE, Rochester, MN, 55904",MN,44.019981,-92.460378,9am - 4:30pm,(507) 722-7264,Yes,Yes,Call to Reserve,
Northland Area Family Service Center,"320 Eagle Ave NE, Remer, MN, 56672",MN,47.0603392,-93.9066388,"By appointment only: Monday - Thursday 8am - 4:30pm, Call 218-566-3636 to make an appointment",(218) 566-3636,Yes,Yes,Call to Reserve,
